,rating,date,title,content,helpful count
0,5,22.07.15,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,"대학 다니면서 정말 많이 먹었어요 술안주먹고 그 다음날 해장으로 먹고ㅋㅋㅋ  그 맛을 잠시 잊고 있다가 아프니깐 뜨끈한 국밥 생각 나더라구요...주문했더니 총알로 왔더라구요.. 바로 데웠죠..!  국밥 먹으며 땀을 쫙 뺐더니 아픈게 날아가는 것 같아요 역시 형국!!!!!!! 10년넘는 시간이 지나도 여전히 맛이 최고입니다!!! 빨리 먹고 다시 주문 해야겠어요~~~!!!!</span></div><span class=""_2QRtghbCyu"">더보기",0
1,5,22.07.10,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
2,5,22.07.15,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
3,5,22.07.15,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
4,5,22.07.19,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
5,5,22.07.13,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
6,5,22.07.18,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
7,5,22.06.27,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
8,5,22.07.11,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
9,4,22.07.17,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
10,5,22.04.06,국밥 선택: 마라국밥,"대학생부터 열심히 다닌 10년 단골집 형제국밥이쥬?  서울로 취직하는 바람?에ㅠㅠㅠ내사랑 형제국밥과 헤어져 서울에서 입맛에 맞는 국밥을 찾느라 버린돈만 오조오억ㅋㅋㅋ ㅋㅋㅋ  와우 밀키트라녀??? 따댱님 드뎌 일내심!!!!   일단 내사랑 불꽃국밥바로시키고요 기본도 당연히 시켜줘야하는거고요 마라국밥 궁금해서 함시켜봤고요  아근데 사장님 마라국밥 이래맛있다고 왜말안해줘써여...? 불꽃국밥이 최애긴하지만 좀더강력하게 얘기해줘써야쥬ㅋㅋ  하여간 도착하자마자 마라국밥이랑 기본국밥 바로끼리가 신랑이랑 완뚝! 아니 완냄ㅋㅋㅋ너무마시쏘요ㅠㅠㅠ 역시 형국입니다ㅜㅠㅠ 낼아침은불꽃국밥마셔볼게요?? (불꽃 패키지 바뀐다고되있던데ㅋㅋㅋ불꽃매냐설렌다구용ㅋㅋ) 사랑해요 형제국밥😘</span></div><span class=""_2QRtghbCyu"">더보기",1
11,5,22.07.17,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
12,5,22.06.24,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
13,5,22.06.08,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
14,5,22.06.07,국밥 선택: 돼지국밥,,1
15,5,22.06.07,국밥 선택: 시그니처 불꽃국밥,,1
16,5,22.06.18,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
17,5,22.06.22,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
18,5,22.05.26,국밥 선택: 돼지국밥,,1
19,5,22.06.04,국밥 선택: 시그니처 불꽃국밥,,1
20,5,22.06.13,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,1
21,5,22.06.19,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,0
22,5,22.06.25,국밥 선택: 돼지국밥,,0
23,5,22.06.12,1953 형제국밥 대표국밥: 극한의 맑음!! 맑은국밥!!,,1
