,URL
0,https://adcr.naver.com/adcr?x=rbGr6A9tDKfgmzmZEurPsP///w==kKjnm+pMyYcQ+CpuX2lDsDBxNDLBP8G5dsSMVKmg2XwWdb1VgVF9aEJIwIOIptUEmlwKG7zRJwCR/mI0ciN5mO4cpliVk8lisRZbCtuYe+Oh+ymjISMEjj7hkVxru6nd2NMtg3o/uPJ490GDC8C2LLbsyaNn31d/eZBmVpINCsm2JXGBogS3cTSYd5L9HhP0ipkTszx2NTEqCdbN0CVtcFfoqKmvxRxyEHZmKl5UV7Kr9iEPzIYeBbK1wZe0l7MDV3Ef7FhwSAwW9I0ZkmB/cUSgWJL1kn8zIL8pcU6WvgIALyAIlgRD4eAIiy9/fBjOWS1SJ1UxwdiyHXw84m5Or1r3byIdAYOz6uO8G5MFSa8XDajog0kKX67IQLKa2FJNLFos/G5THkcen8lR9S7wo0AsJFxVcv/kZkQFVeAZUYZoS4KCJ/BVNtG6sxgFssb6invo/+UB44sKZ21vtkATfJn41JW4XG5pV8YW0ZX+Ey+ivluWxFXElalFM+A2eekE0iNVL+AcvDLgPXo/dYATreZAyDbPc98+lD1JuAgnthTE9TL4oQm7SBfVYF7DiqIV1gdApm5ipJ7Ggx9xVpUYvrnSvIIrAwz4iesd+N7PxeBOPQcO5p+h0JNXkwdCat6O5s4dHa7A+ylOOc5xG5hT2+/Zb5g9H2C2L65TLWZcI+eG6aSsacMukq+EqVuVBmdYpNZ9wR7pRZCvRaYScdO7GhgHYXKHUVxQwzYwfxsFAr6uYClqtQjtBIdzqe9Jdbk5eAu4UQOml8bNiSBWv141kqxa7mVWjPeyna5yUHacIp7bCzjx8gD67gv/KNFXTsG/2ovOjEAHJY5I4Yf7Rt6/Zug==
1,https://adcr.naver.com/adcr?x=htoKARERImYEkbr0aWEDHf///w==kzEFQPC1IqlF+Dd3Ql+PZnQr8oZRSjkDJai6Up3B+/fRHCNqClthnDAI+41TIxNAXgTIi5UQPVz0sYSkngHL2qcJfhhPXmuugBMA/4GXKv4w+1/0/YudmGRxOH5M1+0DQRd4tXT5LJcRz4ikqNjxuce9IPIN61TvBSGeskw01xqgm5GXLsRn1InN+DcRE6I4ecF3nbLIRSSFlytgIEPYo4PDSYrhejbD9bf21XqDaFPXOmMBwJ0fo+b2msDE3UxsHYzifd9PGbR/TtMTefvHOmmzc4/GyoQi7JEH3vIJ8Kxb4KOslJQiKVDOdqM51NywIhiLy/AbR2WWEcXganEt8VJbiPCmGlpQ/Cq4wUt2bmwFCdOhJ+fVLv2hdJtGKFkj3sL0Zc2FiguzPaqNJtXXb3Z/vZlUf91WDO7bErcXnyIbPhZ5gjwOwFOzerN5YB2+P2/pUHAf5AO4o1s+ZQDZIGPP86yWg1IVJAtQq/3UIe+EDS+bwved8VLw+tgkZ5f+85Et3W/4QYeMOq3cETR8kApq5G9/SIQGtZ0WhiwaOwPscLVBqHzkPo3Cy6S1di6QRjTNKXlgq1avH5ylzNYKIbB7P+rxOT3wMEIlwHq3RLCDdjzFTZcjgyZTOZxD1OMh7puYjFaDgdFMxgs0W9wha04vy+Lc1o7bbzlJdfmbJrXt8H0xLpeiFEXiXld96n0AG1PSReISigJlh1tnQNtUCZ60bJ4ir3ZV4944aGx//yfUfeU2l1cvkbJ+a6aOAoIMNGsdXdeWLmEDKRPviExB4I3QicSgFcB4+jk9BHqaBXztxaWh7L9GnHVlX6rIOkEVRog947V1aao5YWJUqHWboHA==
2,https://adcr.naver.com/adcr?x=BO6XkT2cYvWbQZripQAhpv///w==kevavCRzSxuqyadQwMjNGyCOv+IZRnVn0TL+FSYyPXLdPE8VSgCMPTVVcfU3FfULDz9GR+B6IJ0qvhCRukOWoGO2RvUTrN87mlTi2Dl7yFrGPXOdpqWC3s7VIFIF8N5xC6R8zErIb/jYrU3oeQ8XH4BfgTSy6Jn1akzZNe4kohU1apEb9Bem4Bl4NTSUJvnsWDv5OAIVo+G6R7hOYZxZbWM45TLjd7oYglch3QuSK9brbe8rkBVi83rtGNG2xmexC2hzI8e2QenEBRzGK8FIW8lA5Yy7ES0I4TwC5bsv6vjs4X3+LAjQ92Qm00J63Kj5atrKqmdc8Qootv+BKDEQdvA5gC/aM9BpWHqtvqT6+csMAj9FO7eAxMeISL7wKEt+Vod+1H5ZEyoVlD/7V79F1eXLGDmxbB3UAFKsBMfUH4m6gQTYGi1jGXcfV/9MoPNn98qrwabzTsAlr7wtLiF/ffzwvBBPQLEmeMJ47XQ8Dz1+xQiBkWzPI5E/huM++Oh28m9CZXaSMy8GME40lmxdXqpPYxRCJgIlLp3lEzBvqsHpu/oBsdHRjA7nZveN2zKRDDGlFAElQwJopYhhdTF0bLhHeJACLCGr69vVgoGVHmqlBxBbN20rB1q+MwIt/bI1LML/afin1vbqw8z22D5IXhoLE2gkXEVvKIgvaI7kZhzXkHx7+dkYdRjl06Vln2JkDQJlYVI2I0Al98+RmC9HUoa0C5PYPDT4gvItjJk1C2kCwxPBalfOf+vJsFV0FNjESJO3vINOrLfDK+nt6/m56uSlHdbbppfZGhEDm2FEgiy4ohi74wcC2AI16Aw5K7vNQ9IfkFIdx5rVp6KjX4dImmjcKepojCB+6S9B7IWRwVMBo36qWcPw9vEs4lNE81/PhLI7RjHq2EPsjOE7l9+/iKiwCt1m1x3umCQuce7cj9ucG7Qhab0yjLlJ6bKCRRz3+NpnFoTENK47m2JKdJIa8UA==
3,https://cr.shopping.naver.com/adcr.nhn?x=ahqeRh%2BQhAi2YKl6p3tfVv%2F%2F%2Fw%3D%3DsSihNvC0U%2FhWlTVc0SeaJBcJ8jmMY5tOZcMdXVhSSQnZzOyTsAdWQxMfHjbY%2B4Dp44RUvorV1xeOl3ua1R5P1pr9fUbQgvldVA4awZ%2BIuO9Nm1vGFTBcg%2Fd8xQTPCBFsMkbjMStDV1ECS6h%2FHBtT5YcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0N7hi%2Fz%2BZUw4ad6wZ9JDy2ln3tNOgWEBSMke1EXZrk1YTDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqoaRwmpf7x7J1LbNUGCPxtxqU1sL3jtldCY28jeLhWL6StG0x9xxjv9faycrg43zAzw3ofalbXrY97r30%2FvdDSY%2BhVEYoTr1TSuvmq6LxRF2U0q0svX1%2FA3dqS%2BACC7a1GouxQBIBJqrfvkqpNEeHZjoQ92nNNI3fvuNbQz6glJt1l28WaJS%2FoZmAO%2BYaWi%2Brv%2Fqyk34imqM8u%2Bub%2FYGPx%2BwGgRREZnTYtzP%2FUgfobFxcmGzUXugKb9o10OduZ8%2BvfuhjJGcXVGY9Nck0el9arXpfdEg1SoWU4QkX9g9g0m2B7srgoLS4aNKXr%2FgidBXUbk9yx2LE4ozzid%2FD5TsgroyVEV%2FivDRpHW4ULUuNSnBXDFSGwQJ1nTbl13IQy9fUL0ugzE54pfE38mwC8lpuf3LVWGr8fvvH1mWvUgXPK6j&nvMid=82516769783&catId=50013781
4,https://cr.shopping.naver.com/adcr.nhn?x=ORAIMbD9Pvk4bsahIvq9mv%2F%2F%2Fw%3D%3DsLSaHqbId8QYdgj7nZ37aipS7AOkDH52n%2BDclKuY9GXl0BjwHwW%2Bd%2FlbAiHvprhaPyz%2B4G%2B1qvGk0YkwnJ%2B5G1K252O%2F7hrqEiZRdyrd4D7JUxNYV4shoDfSYEoBu5zs7ujaRulubOSW4G8koleXf7mFEV98CfAwi%2FgpsOD1fQ6BauFou6XqHVWbZADh1MXsb09ZMLJJSxXhvRWP2Q8boYMCUw%2FeanxPpSd1BprLUFNmAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FWSWpLkV167KtpwwJ%2B91WdYLXMr6ZLoSpGcpdY9y%2BK6zgO03VvBFOL6hhLgl5FsM8k5wV2%2BWP2Lx6ceA2OGFa%2BkUIkt5M0yIil13vZMydQVHP85Og%2BuyXcuoopH2QBeKwoAufb%2BIRrh4KycnSo7cyr43OfLAKPWG2%2BLyeIH%2FP0EoyCYClBQrIzRXUo%2BPxCytDWV50dKCMdEVk0t2a9GU6OUVLnGzaJ4JSY81QmiuCHa3q%2B1QG9%2BhKxA%2B8QzplZRlOlD7aM7hyuiHQ0nLwKpvZwaDEsj4DLU%2FctR2IByvbx6C7uVdKoW7ktvsN35VjaBYCw4SwcLvxUEucVmH%2BcOht40%3D&nvMid=82686882450&catId=50014001
5,https://cr.shopping.naver.com/adcr.nhn?x=PnFspVihUXpmsRGa%2BQRb%2FP%2F%2F%2Fw%3D%3Ds7EIJcKBxAgLDHBzXs6E8xWYlj2MY2M35Ic2O8PJOS9xzOyTsAdWQxMfHjbY%2B4Dp4X%2Fww7yK1bf0D3IxOVzZO9b9fUbQgvldVA4awZ%2BIuO9Nm1vGFTBcg%2Fd8xQTPCBFsMkbjMStDV1ECS6h%2FHBtT5YcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NXppcbcQj19oeTxpc2QZdon3tNOgWEBSMke1EXZrk1YTDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqnGr2GCnYScPMFkaf8jfeqcBeY%2FS%2FRBbSU%2FhJz68ffvNvZDTMRau3XwLEwCRH6cvR89JXH%2B9lsDNOjiIxUQhJvTcEUMk%2BYg0ZV3bZSl4pTyyLFaSGX3wLW5dKdN5G3ZH0d7ph1Tmc23f9ysdrUazkvIKjTK0a5DvgJMd6YpWszNt8Pu%2B%2BC3pPl8VEul%2BdxZjV%2Bf8CRL1MCTFfBh86FAMXuRSawvCAufANOJt36yO4%2BWOeBKSSC%2F0GsiuyqJVIQvLLaPmZhODk7K9QQYehGzMTnR0Jxql19uM%2BdBK4wf8OjnjJz9z5q8RXDYTX6xUvs%2BTSqvtUBvfoSsQPvEM6ZWUZTq9nace6SEE5Kfwsv5PNP%2FNtBCbJGtRZTUp1P840bIs%2BI2oFNBQlVZk%2BXNIA3VkGkIOEsHC78VBLnFZh%2FnDobeN&nvMid=82736895920&catId=50013821
6,https://cr.shopping.naver.com/adcr.nhn?x=LXu9mOLD4nzUD5IDmUssHP%2F%2F%2Fw%3D%3DsnVfL64QaBVF1Cx12K6LzDp6JDSi9wt1o7PmKcolKwrXwkCQkpGf5qFMxDJcZDRrPLXnOZ35bV2%2FzoUScTil%2Fyx6H8IadYUawvV4dl%2B3C6HkRoypM5erQzNjiF7T3Sw7v8PiKkf7icSkyBpg9293qB99%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajLRtyNPCfk1vEI94sotVSSv583HOk9e%2Fp22mU1mMzBbWB4k3N2GeSKb8m87EEpnNCcZW9DU9zXfzFPjSrs6%2Bd6VasJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8pPVrdQAWCrw2izQP9JszgHo7uMB7kJQeqhbBbcA%2Fb1rQ9e6t3oHAWssi583jI7jteFKuyOZLHH0HvNurzYLv1SpALPV%2FnJPHus7wAWe4cC6XedcmRASiwuQ14Ckdylx6Tk425okUzhxp%2F6hgUJfAWj3bDWsNjorvUPHRuxYfe1YbCqFws0djWfHkc5aKKmwVfP%2F3UrpfsNJB0ivA7C9%2B2PBPY0xJpl9m%2FRkH2uwmPEaHX9gCrcssAizHimfPPAga7EqICQXiIkeuOBCHSQsUIKsfuUld%2Bez7rr9bXbHNDDBu3dQ9ycycLg5WZUWiI8Fp71tqtWQablf%2F77SlIExh54hLCepMTRiKPTFKTinoXjR11JMXgBf%2BXlRwTL%2FRuMV3b1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=33285679003&catId=50014201
7,https://cr.shopping.naver.com/adcr.nhn?x=%2BF78hKY37BKnmxo94Vi3x%2F%2F%2F%2Fw%3D%3DsfdMLciJY0XJ2t3rjpDSjc%2Bu4%2B7aXGI0nzRHDyVUfzWBzOyTsAdWQxMfHjbY%2B4Dp4Gr5Tw8bPJOLOiRkMutCPs79fUbQgvldVA4awZ%2BIuO9Nm1vGFTBcg%2Fd8xQTPCBFsMkbjMStDV1ECS6h%2FHBtT5YcVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NFB0%2FXxsknGtyuOH3NTFNo33tNOgWEBSMke1EXZrk1YTDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqnzHUrWkI5iaOzPobte6xzOvQJJkwMXLUfPwmrN2T2vfeehFACwBAwcPE9O1tDYrbf7EMO1XpfxqrOrE9uaIF7nN81WjUpxJVJrN5mDsz4BpJ%2B3vC7U5fTbKCcwBb1Lcd5ID2pRg%2BaD76oTE3yTWNbhJOoy%2FctkPeteFc2Mj3vKFc2UfO3lT97DuGUU9q58MEcVUtEMTfHqcIlxwUrHmj6dcqDrTK3oOSAX1SdQDvq7KkAlOKwPahCEyYd9E%2BlamjvkEKVjLRJ8SQ2HPzweAZlJUZ6doz%2FnMEHsHJS9tsEgLqAmIdNQIr3rNfLdzeS3sqR0cjwVm1BUYVknE7IEMpz4%3D&nvMid=82280787324&catId=50013821
8,https://cr.shopping.naver.com/adcr.nhn?x=sdFcjYNa%2FIMEg25jxMP2yf%2F%2F%2Fw%3D%3Ds1jx001Irc1Sn96aeXO0Q0oWIeLkWadT5v3CO90GzLlB0BjwHwW%2Bd%2FlbAiHvprhaPrxaHJ%2Fy19lXcHz1MsD1q46252O%2F7hrqEiZRdyrd4D7JUxNYV4shoDfSYEoBu5zs7ujaRulubOSW4G8koleXf7mFEV98CfAwi%2FgpsOD1fQ6CLZg%2B836fvR7S%2FYhR6nHLLxNECSYO86C%2FDIO9sk94djcCUw%2FeanxPpSd1BprLUFNmAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FbsIUKUl2L2YDDKdP9U50UrdJcEXxJv4Y2njfzrqCilQgO03VvBFOL6hhLgl5FsM8lKvkdYiqrqZ6X3rEZYT%2BfUUIkt5M0yIil13vZMydQVH7jb8M%2FkxWdF57raxZJOPVhaAQzN43x3FJx47pPsZR7zfAqFNF8YsGn7C3v4l7CBcY1fdxL3DmXK5EbmOKwPAEOG9TIaJshlB5NkqBJ%2FF4Lh4AXkEtm%2BQLC7tBk6%2F9hypTIETHLNys2o0jgmxqRUJqK8J2kzix5b6wkuD9N8G2Thmyk%2B9w8%2BPOKzHKBPT6Ip2OhjxsJAR4Eg6ZhksrLJ7OEHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=82446352749&catId=50014001
9,https://cr.shopping.naver.com/adcr.nhn?x=3cdtVYLXGlQcBiHjWzh14P%2F%2F%2Fw%3D%3Ds7miDdqIRmhWk6GWeRDq1iAKhrUU1GMsUTmnLLUQk35lzOyTsAdWQxMfHjbY%2B4Dp4yqj%2FCTMCDrMAb1u8LgSJQr9fUbQgvldVA4awZ%2BIuO9Nm1vGFTBcg%2Fd8xQTPCBFsMHFfB7blykYTwBF6vtCKp%2FMv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKnNRHlACDTMYPedhMP9A%2F4fdgxh6ddEbws9sq%2F9eL9YRBwuLTxWKzpUJYyd0BMJKYWXcgDPElyoakukRMnGRqZEPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpbBM269xHFh0EjSfW%2FSg8DWuze7Xynw1HKTiTwqLW8n0ph6OI%2BMZ62yALD%2BzDl0EEokW%2F5Ou01Ygj%2BnPtwdqmFt1woZLwre%2F0c6LfC8XQvObHMMZcr0WfgjaQxrXdqb%2FJIQDho4EH08%2FynOpiwrc3l7o4XIfLNOJ%2FezQmNjB6VitDt%2BtvoTrD763G5sM78VlhyPQS1iWLKPyUrPMivc1y0nlwc1GIn0V247M53zu8d2INauEcRynSn%2F8orOK7nc90D7sNHxp2%2BpPIjxr4wrtgwUasB0ctxU4UNir%2FWL2y9ATke%2FVP%2BgM94BPZkP5YJ%2Bex&nvMid=24088106568&catId=50014201
